GAME_ID,TIME,SHOT_MADE,ASSIST_PLAYER_ID
21500205,0,,
21500205,0,,
21500205,18,1.0,202704.0
21500205,37,1.0,203114.0
21500205,51,0.0,
21500205,53,,
21500205,59,0.0,
21500205,60,,
21500205,79,,
21500205,83,1.0,
21500205,112,1.0,
21500205,112,,
21500205,128,1.0,203507.0
21500205,142,0.0,
21500205,144,,
21500205,146,0.0,
21500205,146,,
21500205,150,0.0,
21500205,151,,
21500205,166,1.0,202704.0
21500205,184,0.0,
21500205,185,,
21500205,189,0.0,
21500205,192,,
21500205,192,0.0,
21500205,193,,
21500205,193,1.0,
21500205,206,1.0,202694.0
21500205,223,0.0,
21500205,224,,
21500205,245,1.0,202704.0
21500205,258,0.0,
21500205,259,,
21500205,265,,
21500205,273,1.0,203507.0
21500205,306,1.0,101141.0
21500205,319,1.0,203507.0
21500205,326,,
21500205,326,,
21500205,343,0.0,
21500205,344,,
21500205,364,1.0,
21500205,376,,
21500205,376,,
21500205,376,,
21500205,376,,
21500205,392,0.0,
21500205,394,,
21500205,402,,
21500205,421,0.0,
21500205,422,,
21500205,431,0.0,
21500205,432,,
21500205,440,,
21500205,440,,
21500205,440,,
21500205,440,,
21500205,440,,
21500205,440,,
21500205,451,,
21500205,451,,
21500205,457,,
21500205,457,,
21500205,457,,
21500205,467,,
21500205,479,1.0,202704.0
21500205,494,1.0,203487.0
21500205,520,0.0,
21500205,521,,
21500205,528,,
21500205,528,,
21500205,533,0.0,
21500205,536,,
21500205,542,1.0,
21500205,556,1.0,203114.0
21500205,568,,
21500205,568,,
21500205,568,,
21500205,568,,
21500205,578,0.0,
21500205,579,,
21500205,590,,
21500205,590,,
21500205,600,,
21500205,600,,
21500205,600,,
21500205,613,,
21500205,613,,
21500205,613,,
21500205,613,,
21500205,625,0.0,
21500205,626,,
21500205,639,0.0,
21500205,640,,
21500205,651,1.0,203089.0
21500205,674,1.0,1626169.0
21500205,684,1.0,203487.0
21500205,701,,
21500205,720,,
21500205,720,,
21500205,738,,
21500205,740,,
21500205,740,,
21500205,740,,
21500205,753,0.0,
21500205,754,,
21500205,766,1.0,203915.0
21500205,778,0.0,
21500205,780,,
21500205,781,0.0,
21500205,783,,
21500205,793,0.0,
21500205,795,,
21500205,810,0.0,
21500205,811,,
21500205,816,1.0,
21500205,833,0.0,
21500205,835,,
21500205,849,1.0,
21500205,876,0.0,
21500205,876,,
21500205,876,,
21500205,885,0.0,
21500205,887,,
21500205,893,0.0,
21500205,894,,
21500205,901,1.0,1626169.0
21500205,919,,
21500205,919,,
21500205,932,0.0,
21500205,932,,
21500205,942,0.0,
21500205,944,,
21500205,949,1.0,201573.0
21500205,949,,
21500205,949,,
21500205,949,,
21500205,955,,
21500205,968,0.0,
21500205,969,,
21500205,974,1.0,202328.0
21500205,988,0.0,
21500205,990,,
21500205,992,,
21500205,998,0.0,
21500205,1000,,
21500205,1007,1.0,
21500205,1019,1.0,201573.0
21500205,1032,,
21500205,1032,,
21500205,1032,,
21500205,1032,,
21500205,1032,,
21500205,1042,0.0,
21500205,1045,,
21500205,1049,0.0,
21500205,1050,,
21500205,1064,0.0,
21500205,1067,,
21500205,1067,0.0,
21500205,1069,,
21500205,1077,0.0,
21500205,1078,,
21500205,1086,0.0,
21500205,1087,,
21500205,1098,,
21500205,1101,1.0,201573.0
21500205,1101,,
21500205,1101,,
21500205,1101,,
