GAME_ID,TIME,SHOT_MADE,ASSIST_PLAYER_ID
21500466,0,,
21500466,0,,
21500466,15,,
21500466,18,1.0,
21500466,45,1.0,
21500466,66,1.0,201567.0
21500466,81,1.0,203458.0
21500466,100,1.0,
21500466,114,1.0,
21500466,138,1.0,
21500466,138,,
21500466,138,,
21500466,154,0.0,
21500466,156,,
21500466,165,,
21500466,165,,
21500466,165,,
21500466,165,,
21500466,166,,
21500466,174,1.0,202688.0
21500466,183,1.0,
21500466,200,1.0,1626164.0
21500466,213,1.0,2544.0
21500466,227,0.0,
21500466,229,,
21500466,247,0.0,
21500466,249,,
21500466,253,0.0,
21500466,255,,
21500466,268,1.0,
21500466,286,1.0,201567.0
21500466,299,1.0,202720.0
21500466,320,,
21500466,329,1.0,
21500466,344,0.0,
21500466,345,,
21500466,355,0.0,
21500466,357,,
21500466,362,,
21500466,362,,
21500466,376,0.0,
21500466,378,,
21500466,398,0.0,
21500466,402,,
21500466,410,1.0,
21500466,431,0.0,
21500466,435,,
21500466,445,1.0,1626164.0
21500466,465,,
21500466,465,,
21500466,465,,
21500466,465,,
21500466,465,,
21500466,478,0.0,
21500466,480,,
21500466,484,,
21500466,497,0.0,
21500466,498,,
21500466,508,1.0,2544.0
21500466,518,0.0,
21500466,522,,
21500466,523,,
21500466,526,1.0,
21500466,526,,
21500466,526,,
21500466,526,,
21500466,546,1.0,
21500466,555,,
21500466,555,,
21500466,555,,
21500466,571,1.0,202697.0
21500466,589,1.0,202688.0
21500466,607,,
21500466,612,0.0,
21500466,613,,
21500466,613,,
21500466,613,,
21500466,613,,
21500466,613,,
21500466,613,,
21500466,613,,
21500466,632,0.0,
21500466,633,,
21500466,634,1.0,
21500466,649,0.0,
21500466,651,,
21500466,661,0.0,
21500466,662,,
21500466,667,,
21500466,679,1.0,201603.0
21500466,694,1.0,203521.0
21500466,715,0.0,
21500466,717,,
21500466,717,,
21500466,717,,
21500466,717,,
21500466,717,,
21500466,720,,
21500466,720,,
21500466,720,,
21500466,732,1.0,203521.0
21500466,755,0.0,
21500466,757,,
21500466,759,,
21500466,781,0.0,
21500466,783,,
21500466,799,1.0,203141.0
21500466,822,0.0,
21500466,824,,
21500466,834,0.0,
21500466,837,,
21500466,837,1.0,
21500466,845,,
21500466,849,0.0,
21500466,851,,
21500466,851,1.0,
21500466,851,,
21500466,851,,
21500466,851,,
21500466,867,,
21500466,883,,
21500466,883,,
21500466,883,,
21500466,883,,
21500466,883,,
21500466,903,0.0,
21500466,905,,
21500466,910,0.0,
21500466,912,,
21500466,925,,
21500466,933,1.0,203521.0
21500466,947,0.0,
21500466,948,,
21500466,954,1.0,201603.0
21500466,973,,
21500466,973,,
21500466,973,,
21500466,973,,
21500466,974,,
21500466,995,0.0,
21500466,998,,
21500466,999,,
21500466,999,,
21500466,999,,
21500466,999,,
21500466,999,,
21500466,999,,
21500466,999,,
21500466,1012,1.0,200782.0
21500466,1036,1.0,2544.0
21500466,1046,0.0,
21500466,1048,,
21500466,1048,0.0,
21500466,1051,,
21500466,1051,1.0,
21500466,1066,,
21500466,1071,1.0,
21500466,1093,1.0,2544.0
21500466,1117,,
21500466,1117,,
21500466,1117,,
21500466,1137,1.0,201567.0
21500466,1153,0.0,
21500466,1155,,
21500466,1167,0.0,
21500466,1168,,
21500466,1174,0.0,
21500466,1177,,
21500466,1184,0.0,
21500466,1186,,
21500466,1197,1.0,202681.0
21500466,1222,0.0,
21500466,1224,,
21500466,1236,,
21500466,1236,,
21500466,1236,,
21500466,1237,,
21500466,1254,1.0,
21500466,1280,0.0,
21500466,1284,,
21500466,1284,,
21500466,1284,,
21500466,1284,,
21500466,1284,,
21500466,1284,,
21500466,1298,,
21500466,1316,1.0,2544.0
21500466,1336,,
21500466,1352,,
21500466,1363,1.0,202688.0
21500466,1384,0.0,
21500466,1386,,
21500466,1387,1.0,200782.0
21500466,1409,1.0,
21500466,1427,0.0,
21500466,1429,,
21500466,1440,,
21500466,1440,,
21500466,1457,0.0,
21500466,1459,,
21500466,1465,1.0,2747.0
21500466,1481,0.0,
21500466,1483,,
21500466,1490,0.0,
21500466,1492,,
21500466,1496,,
21500466,1496,,
21500466,1509,1.0,202681.0
21500466,1522,1.0,202720.0
21500466,1536,0.0,
21500466,1538,,
21500466,1542,1.0,202720.0
21500466,1553,1.0,2544.0
21500466,1553,,
21500466,1553,,
21500466,1554,,
21500466,1564,1.0,
21500466,1584,0.0,
21500466,1586,,
21500466,1590,0.0,
21500466,1591,,
21500466,1600,1.0,202688.0
21500466,1620,0.0,
21500466,1622,,
21500466,1630,1.0,2544.0
21500466,1644,1.0,202720.0
21500466,1661,,
21500466,1674,0.0,
21500466,1677,,
21500466,1680,,
21500466,1680,1.0,
21500466,1696,,
21500466,1696,,
21500466,1696,,
21500466,1696,,
21500466,1698,,
21500466,1704,,
21500466,1708,,
21500466,1708,,
21500466,1708,,
21500466,1708,,
21500466,1708,,
21500466,1717,,
21500466,1729,1.0,
21500466,1735,,
21500466,1735,,
21500466,1739,0.0,
21500466,1741,,
21500466,1748,,
21500466,1748,,
21500466,1756,,
21500466,1756,,
21500466,1768,0.0,
21500466,1771,,
21500466,1775,0.0,
21500466,1778,,
21500466,1780,0.0,
21500466,1781,,
21500466,1793,,
21500466,1793,,
21500466,1793,,
21500466,1793,,
21500466,1793,,
21500466,1793,,
21500466,1805,0.0,
21500466,1807,,
21500466,1807,,
21500466,1807,,
21500466,1807,,
21500466,1807,,
21500466,1807,,
21500466,1807,,
21500466,1807,,
21500466,1829,0.0,
21500466,1831,,
21500466,1846,0.0,
21500466,1849,,
21500466,1861,0.0,
21500466,1864,,
21500466,1874,0.0,
21500466,1875,,
21500466,1880,,
21500466,1884,1.0,101179.0
21500466,1904,,
21500466,1904,,
21500466,1915,0.0,
21500466,1918,,
21500466,1939,,
21500466,1962,,
21500466,1962,,
21500466,1962,,
21500466,1962,,
21500466,1963,,
21500466,1988,0.0,
21500466,1991,,
21500466,2000,,
21500466,2000,,
21500466,2000,,
21500466,2000,,
21500466,2000,,
21500466,2000,,
21500466,2000,,
21500466,2012,,
21500466,2030,1.0,
21500466,2033,,
21500466,2033,,
21500466,2033,,
21500466,2033,,
21500466,2044,0.0,
21500466,2046,,
21500466,2053,0.0,
21500466,2055,,
21500466,2063,0.0,
21500466,2065,,
21500466,2084,0.0,
21500466,2087,,
21500466,2111,0.0,
21500466,2113,,
21500466,2135,,
21500466,2156,,
21500466,2156,,
21500466,2156,,
21500466,2160,0.0,
21500466,2160,,
21500466,2160,,
21500466,2160,,
21500466,2177,0.0,
21500466,2180,,
21500466,2197,0.0,
21500466,2199,,
21500466,2199,,
21500466,2210,0.0,
21500466,2212,,
21500466,2224,0.0,
21500466,2226,,
21500466,2234,,
21500466,2234,,
21500466,2234,,
21500466,2247,1.0,
21500466,2266,1.0,2592.0
21500466,2278,0.0,
