GAME_ID,TIME,SHOT_MADE,ASSIST_PLAYER_ID
21500679,0,,
21500679,0,,
21500679,21,0.0,
21500679,22,,
21500679,35,1.0,201566.0
21500679,57,1.0,201167.0
21500679,71,,
21500679,71,,
21500679,71,,
21500679,93,0.0,
21500679,95,,
21500679,102,,
21500679,109,0.0,
21500679,111,,
21500679,122,1.0,201142.0
21500679,138,0.0,
21500679,140,,
21500679,145,0.0,
21500679,147,,
21500679,151,,
21500679,151,,
21500679,151,,
21500679,162,1.0,201566.0
21500679,180,1.0,204001.0
21500679,190,,
21500679,190,,
21500679,190,,
21500679,190,,
21500679,201,0.0,
21500679,203,,
21500679,208,,
21500679,213,1.0,
21500679,228,0.0,
21500679,230,,
21500679,235,1.0,
21500679,248,0.0,
21500679,249,,
21500679,249,0.0,
21500679,251,,
21500679,251,0.0,
21500679,253,,
21500679,254,0.0,
21500679,255,,
21500679,255,1.0,
21500679,265,0.0,
21500679,266,,
21500679,272,1.0,201566.0
21500679,280,,
21500679,296,1.0,101181.0
21500679,313,0.0,
21500679,315,,
21500679,317,0.0,
21500679,318,,
21500679,332,0.0,
21500679,335,,
21500679,340,1.0,
21500679,351,1.0,101181.0
21500679,365,0.0,
21500679,367,,
21500679,385,1.0,101181.0
21500679,415,1.0,201566.0
21500679,425,1.0,
21500679,439,0.0,
21500679,441,,
21500679,448,,
21500679,448,,
21500679,463,0.0,
21500679,465,,
21500679,471,1.0,201142.0
21500679,493,0.0,
21500679,494,,
21500679,494,1.0,
21500679,499,,
21500679,499,,
21500679,499,,
21500679,499,,
21500679,499,,
21500679,518,1.0,
21500679,518,,
21500679,518,,
21500679,518,,
21500679,518,,
21500679,522,,
21500679,522,,
21500679,522,,
21500679,522,,
21500679,535,1.0,
21500679,547,1.0,
21500679,561,,
21500679,565,,
21500679,570,,
21500679,576,0.0,
21500679,578,,
21500679,579,0.0,
21500679,581,,
21500679,581,0.0,
21500679,583,,
21500679,583,,
21500679,583,,
21500679,583,,
21500679,583,,
21500679,583,,
21500679,583,,
21500679,583,,
21500679,595,,
21500679,595,,
21500679,600,0.0,
21500679,602,,
21500679,608,1.0,
21500679,621,,
21500679,621,,
21500679,621,,
21500679,621,,
21500679,622,,
21500679,634,1.0,
21500679,649,,
21500679,649,,
21500679,649,,
21500679,663,,
21500679,666,1.0,
21500679,686,1.0,201627.0
21500679,693,1.0,1626170.0
21500679,715,1.0,201142.0
21500679,719,0.0,
21500679,720,,
21500679,720,,
21500679,720,,
21500679,739,0.0,
21500679,741,,
21500679,760,0.0,
21500679,762,,
21500679,769,1.0,
21500679,769,,
21500679,769,,
21500679,779,0.0,
21500679,781,,
21500679,798,0.0,
21500679,799,,
21500679,807,0.0,
21500679,809,,
21500679,821,0.0,
21500679,823,,
21500679,830,0.0,
21500679,832,,
21500679,845,,
21500679,845,,
21500679,845,,
21500679,845,,
21500679,845,,
21500679,865,0.0,
21500679,867,,
21500679,876,1.0,202683.0
21500679,889,1.0,1626170.0
21500679,892,,
21500679,892,,
21500679,892,,
21500679,903,0.0,
21500679,905,,
21500679,914,0.0,
21500679,916,,
21500679,922,1.0,
21500679,936,1.0,
21500679,950,,
21500679,955,1.0,204038.0
21500679,978,0.0,
21500679,980,,
21500679,992,0.0,
21500679,994,,
21500679,1008,1.0,201586.0
21500679,1029,0.0,
21500679,1031,,
21500679,1036,1.0,
21500679,1037,,
21500679,1037,,
21500679,1037,,
21500679,1037,,
21500679,1037,,
21500679,1037,,
21500679,1054,,
21500679,1054,,
21500679,1054,,
21500679,1054,,
21500679,1075,1.0,203079.0
21500679,1086,0.0,
21500679,1088,,
21500679,1090,1.0,
21500679,1108,0.0,
21500679,1110,,
21500679,1117,1.0,
21500679,1141,0.0,
21500679,1142,,
21500679,1147,1.0,
21500679,1167,1.0,204038.0
21500679,1184,1.0,201566.0
21500679,1213,0.0,
21500679,1214,,
21500679,1220,0.0,
21500679,1221,,
21500679,1227,1.0,
21500679,1240,0.0,
21500679,1242,,
21500679,1251,0.0,
21500679,1253,,
21500679,1262,1.0,201566.0
21500679,1266,,
21500679,1266,,
21500679,1266,,
21500679,1266,,
21500679,1266,,
21500679,1288,0.0,
21500679,1290,,
21500679,1306,0.0,
21500679,1308,,
21500679,1316,,
21500679,1316,,
21500679,1316,,
21500679,1330,0.0,
21500679,1332,,
21500679,1338,1.0,201167.0
21500679,1338,,
21500679,1338,,
21500679,1338,,
21500679,1349,1.0,
21500679,1376,0.0,
21500679,1378,,
21500679,1379,0.0,
21500679,1382,,
21500679,1385,1.0,201142.0
21500679,1399,1.0,101181.0
21500679,1399,,
21500679,1399,,
21500679,1399,,
21500679,1410,0.0,
21500679,1412,,
21500679,1430,0.0,
21500679,1433,,
21500679,1435,,
21500679,1435,,
21500679,1439,0.0,
21500679,1440,,
21500679,1440,,
21500679,1440,,
21500679,1452,,
21500679,1455,1.0,
21500679,1470,1.0,
21500679,1493,0.0,
21500679,1495,,
21500679,1504,,
21500679,1507,1.0,
21500679,1525,,
21500679,1525,,
21500679,1525,,
21500679,1536,1.0,
21500679,1552,0.0,
21500679,1554,,
21500679,1567,1.0,
21500679,1590,,
21500679,1604,1.0,101181.0
21500679,1630,0.0,
21500679,1631,,
21500679,1631,,
21500679,1648,,
21500679,1651,1.0,203500.0
21500679,1664,,
21500679,1669,1.0,203500.0
21500679,1669,,
21500679,1694,0.0,
21500679,1696,,
21500679,1701,,
21500679,1712,0.0,
21500679,1714,,
21500679,1733,0.0,
21500679,1735,,
21500679,1742,1.0,
21500679,1755,0.0,
21500679,1757,,
21500679,1776,0.0,
21500679,1777,,
21500679,1777,,
21500679,1777,,
21500679,1777,,
21500679,1777,,
21500679,1777,,
21500679,1777,,
21500679,1778,,
21500679,1794,,
21500679,1794,,
21500679,1794,,
21500679,1808,1.0,
21500679,1808,,
21500679,1808,,
21500679,1808,,
21500679,1827,,
21500679,1841,0.0,
21500679,1843,,
21500679,1850,1.0,
21500679,1866,1.0,
21500679,1885,,
21500679,1902,1.0,202498.0
21500679,1915,,
21500679,1915,,
21500679,1915,,
21500679,1936,1.0,101181.0
21500679,1948,,
21500679,1948,,
21500679,1948,,
21500679,1955,0.0,
21500679,1956,,
21500679,1956,,
21500679,1956,,
21500679,1967,0.0,
21500679,1969,,
21500679,1969,0.0,
21500679,1971,,
21500679,1983,0.0,
21500679,1985,,
21500679,1992,,
21500679,1992,,
21500679,2005,,
21500679,2026,1.0,
21500679,2047,1.0,
21500679,2071,1.0,
21500679,2081,0.0,
21500679,2081,,
21500679,2082,,
21500679,2082,,
21500679,2082,,
21500679,2086,,
21500679,2086,,
21500679,2086,,
21500679,2105,1.0,1626170.0
21500679,2120,0.0,
21500679,2122,,
21500679,2127,0.0,
21500679,2128,,
21500679,2130,1.0,1626170.0
21500679,2152,1.0,201142.0
21500679,2157,,
21500679,2157,,
21500679,2157,,
21500679,2160,,
21500679,2160,,
21500679,2160,,
21500679,2179,0.0,
21500679,2181,,
21500679,2189,1.0,202682.0
21500679,2205,,
21500679,2205,,
21500679,2215,1.0,202682.0
21500679,2230,0.0,
21500679,2232,,
21500679,2241,0.0,
21500679,2243,,
21500679,2244,,
21500679,2260,0.0,
21500679,2261,,
21500679,2272,1.0,1626170.0
21500679,2297,0.0,
21500679,2299,,
21500679,2307,1.0,
21500679,2309,,
21500679,2309,,
21500679,2309,,
21500679,2309,,
21500679,2326,1.0,201586.0
21500679,2352,0.0,
21500679,2354,,
21500679,2365,0.0,
21500679,2366,,
21500679,2381,1.0,1626170.0
21500679,2399,1.0,
21500679,2425,0.0,
21500679,2427,,
21500679,2431,,
21500679,2431,,
21500679,2431,,
21500679,2431,,
21500679,2431,,
21500679,2431,,
21500679,2455,0.0,
21500679,2457,,
21500679,2460,0.0,
21500679,2462,,
21500679,2470,1.0,202682.0
21500679,2491,1.0,201566.0
21500679,2505,0.0,
21500679,2506,,
21500679,2506,0.0,
21500679,2508,,
21500679,2518,,
21500679,2527,1.0,203500.0
21500679,2542,,
21500679,2545,,
21500679,2547,,
21500679,2564,0.0,
21500679,2566,,
21500679,2568,,
21500679,2587,0.0,
21500679,2588,,
21500679,2599,0.0,
21500679,2601,,
21500679,2611,,
21500679,2611,,
21500679,2611,,
21500679,2621,,
21500679,2621,,
21500679,2623,,
21500679,2623,,
21500679,2623,,
21500679,2623,,
21500679,2634,,
21500679,2645,0.0,
21500679,2647,,
21500679,2650,0.0,
21500679,2652,,
21500679,2660,,
21500679,2679,0.0,
21500679,2680,,
21500679,2687,,
21500679,2701,1.0,
21500679,2724,1.0,204001.0
21500679,2744,1.0,201566.0
21500679,2770,1.0,
21500679,2770,,
21500679,2784,0.0,
21500679,2786,,
21500679,2792,,
21500679,2807,1.0,
21500679,2817,,
21500679,2821,1.0,204038.0
21500679,2821,,
21500679,2829,0.0,
21500679,2831,,
21500679,2832,1.0,
21500679,2838,,
21500679,2854,0.0,
21500679,2856,,
21500679,2864,1.0,201566.0
21500679,2864,,
21500679,2880,0.0,
21500679,2880,,
21500679,2880,,
21500679,2880,,
21500679,2880,,
21500679,2890,1.0,
21500679,2909,0.0,
21500679,2911,,
21500679,2925,0.0,
21500679,2926,,
21500679,2930,0.0,
21500679,2932,,
21500679,2940,0.0,
21500679,2942,,
21500679,2947,,
21500679,2947,,
21500679,2947,,
21500679,2947,,
21500679,2949,,
21500679,2958,1.0,201566.0
21500679,2975,0.0,
21500679,2977,,
21500679,2980,,
21500679,2980,,
21500679,2980,,
21500679,2980,,
21500679,2980,,
21500679,3003,,
21500679,3003,,
21500679,3003,,
21500679,3015,0.0,
21500679,3017,,
21500679,3017,0.0,
21500679,3018,,
21500679,3019,1.0,
21500679,3039,0.0,
21500679,3041,,
21500679,3053,0.0,
21500679,3055,,
21500679,3077,1.0,202682.0
21500679,3077,,
21500679,3077,,
21500679,3090,0.0,
21500679,3092,,
21500679,3108,0.0,
21500679,3110,,
21500679,3116,1.0,
21500679,3116,,
21500679,3116,,
21500679,3133,0.0,
21500679,3136,,
21500679,3145,,
21500679,3145,,
21500679,3154,,
21500679,3154,,
21500679,3154,,
21500679,3154,,
