GAME_ID,TIME,SHOT_MADE,ASSIST_PLAYER_ID
21500340,0,,
21500340,0,,
21500340,24,1.0,
21500340,40,0.0,
21500340,40,,
21500340,48,1.0,1626144.0
21500340,65,1.0,2755.0
21500340,80,1.0,201568.0
21500340,89,,
21500340,94,,
21500340,94,,
21500340,94,,
21500340,119,0.0,
21500340,120,,
21500340,130,1.0,2755.0
21500340,151,,
21500340,151,,
21500340,151,,
21500340,162,0.0,
21500340,163,,
21500340,167,,
21500340,176,0.0,
21500340,176,,
21500340,184,0.0,
21500340,187,,
21500340,187,1.0,
21500340,200,,
21500340,206,,
21500340,206,,
21500340,206,,
21500340,207,,
21500340,221,1.0,201937.0
21500340,234,0.0,
21500340,235,,
21500340,240,0.0,
21500340,240,,
21500340,245,0.0,
21500340,246,,
21500340,253,0.0,
21500340,254,,
21500340,262,1.0,
21500340,270,,
21500340,270,,
21500340,270,,
21500340,270,,
21500340,281,0.0,
21500340,282,,
21500340,294,,
21500340,294,,
21500340,294,,
21500340,294,,
21500340,312,1.0,201937.0
21500340,323,,
21500340,330,0.0,
21500340,331,,
21500340,348,0.0,
21500340,349,,
21500340,364,0.0,
21500340,365,,
21500340,369,0.0,
21500340,371,,
21500340,371,1.0,
21500340,372,,
21500340,372,,
21500340,372,,
21500340,372,,
21500340,387,1.0,203999.0
21500340,398,,
21500340,398,,
21500340,405,1.0,202357.0
21500340,434,0.0,
21500340,435,,
21500340,442,1.0,201937.0
21500340,456,,
21500340,456,,
21500340,456,,
21500340,456,,
21500340,458,,
21500340,458,,
21500340,458,,
21500340,458,,
21500340,458,,
21500340,458,,
21500340,482,1.0,2419.0
21500340,501,,
21500340,506,0.0,
21500340,507,,
21500340,515,1.0,201568.0
21500340,536,,
21500340,536,,
21500340,540,,
21500340,540,,
21500340,540,,
21500340,559,0.0,
21500340,560,,
21500340,581,0.0,
21500340,581,,
21500340,590,0.0,
21500340,591,,
21500340,609,0.0,
21500340,610,,
21500340,623,0.0,
21500340,623,,
21500340,637,,
21500340,641,,
21500340,641,,
21500340,641,,
21500340,656,0.0,
21500340,657,,
21500340,658,,
21500340,658,,
21500340,677,0.0,
21500340,678,,
21500340,694,0.0,
21500340,694,,
21500340,715,1.0,
21500340,720,1.0,
21500340,720,,
21500340,720,,
21500340,733,,
21500340,748,1.0,
21500340,759,,
21500340,759,,
21500340,759,,
21500340,785,0.0,
21500340,786,,
21500340,790,0.0,
21500340,791,,
21500340,796,0.0,
21500340,796,,
21500340,802,0.0,
21500340,803,,
21500340,807,,
21500340,815,0.0,
21500340,815,,
21500340,826,1.0,
21500340,826,,
21500340,826,,
21500340,836,,
21500340,856,0.0,
21500340,857,,
21500340,862,0.0,
21500340,863,,
21500340,873,,
21500340,889,0.0,
21500340,889,,
21500340,898,0.0,
21500340,899,,
21500340,900,,
21500340,900,,
21500340,900,,
21500340,900,,
21500340,910,,
21500340,910,,
21500340,910,,
21500340,910,,
21500340,910,,
21500340,910,,
21500340,923,1.0,201568.0
21500340,932,,
21500340,932,,
21500340,942,,
21500340,947,1.0,2749.0
21500340,962,0.0,
21500340,962,,
21500340,977,0.0,
21500340,977,,
21500340,983,1.0,203897.0
21500340,1011,0.0,
21500340,1011,,
21500340,1022,1.0,2755.0
21500340,1023,,
21500340,1023,,
21500340,1023,,
21500340,1043,0.0,
21500340,1044,,
21500340,1056,0.0,
21500340,1057,,
21500340,1080,1.0,203115.0
21500340,1098,1.0,203476.0
21500340,1119,0.0,
21500340,1121,,
21500340,1125,,
21500340,1125,,
21500340,1125,,
21500340,1125,,
21500340,1137,0.0,
21500340,1138,,
21500340,1157,0.0,
21500340,1157,,
21500340,1164,0.0,
21500340,1165,,
21500340,1169,1.0,201937.0
21500340,1182,1.0,203914.0
21500340,1204,1.0,1626157.0
21500340,1209,,
21500340,1223,0.0,
21500340,1223,,
21500340,1234,1.0,201937.0
21500340,1236,,
21500340,1255,1.0,
21500340,1272,0.0,
21500340,1274,,
21500340,1278,1.0,
21500340,1292,,
21500340,1298,1.0,
21500340,1312,,
21500340,1312,,
21500340,1328,0.0,
21500340,1328,,
21500340,1337,0.0,
21500340,1339,,
21500340,1350,,
21500340,1350,,
21500340,1350,,
21500340,1350,,
21500340,1350,,
21500340,1360,,
21500340,1360,,
21500340,1360,,
21500340,1360,,
21500340,1371,,
21500340,1371,,
21500340,1371,,
