GAME_ID,TIME,SHOT_MADE,ASSIST_PLAYER_ID
21500060,0,,
21500060,0,,
21500060,13,0.0,
21500060,14,,
21500060,16,1.0,
21500060,31,,
21500060,31,,
21500060,31,,
21500060,52,0.0,
21500060,54,,
21500060,59,,
21500060,79,0.0,
21500060,80,,
21500060,87,0.0,
21500060,87,,
21500060,105,1.0,
21500060,124,1.0,203096.0
21500060,136,,
21500060,143,0.0,
21500060,144,,
21500060,157,0.0,
21500060,158,,
21500060,163,1.0,202738.0
21500060,182,0.0,
21500060,183,,
21500060,189,,
21500060,204,1.0,101145.0
21500060,213,0.0,
21500060,214,,
21500060,223,,
21500060,228,1.0,202340.0
21500060,249,,
21500060,249,,
21500060,249,,
21500060,249,,
21500060,263,0.0,
21500060,263,,
21500060,280,1.0,
21500060,288,,
21500060,302,1.0,201588.0
21500060,314,1.0,101161.0
21500060,339,1.0,
21500060,353,0.0,
21500060,354,,
21500060,367,0.0,
21500060,367,,
21500060,373,0.0,
21500060,375,,
21500060,378,,
21500060,378,,
21500060,386,0.0,
21500060,387,,
21500060,410,,
21500060,410,,
21500060,410,,
21500060,428,0.0,
21500060,429,,
21500060,449,0.0,
21500060,451,,
21500060,458,0.0,
21500060,459,,
21500060,473,,
21500060,478,,
21500060,492,0.0,
21500060,493,,
21500060,496,0.0,
21500060,497,,
21500060,511,,
21500060,511,,
21500060,511,,
21500060,511,,
21500060,511,,
21500060,511,,
21500060,511,,
21500060,526,0.0,
21500060,527,,
21500060,529,0.0,
21500060,530,,
21500060,543,1.0,
21500060,557,1.0,203092.0
21500060,577,0.0,
21500060,578,,
21500060,587,,
21500060,596,0.0,
21500060,597,,
21500060,610,,
21500060,610,,
21500060,610,,
21500060,610,,
21500060,622,0.0,
21500060,622,,
21500060,637,0.0,
21500060,639,,
21500060,649,0.0,
21500060,649,,
21500060,658,1.0,202331.0
21500060,671,0.0,
21500060,671,,
21500060,676,0.0,
21500060,677,,
21500060,694,0.0,
21500060,695,,
21500060,697,0.0,
21500060,697,,
21500060,697,1.0,
21500060,717,1.0,
21500060,720,0.0,
21500060,720,,
21500060,720,,
21500060,720,,
21500060,738,1.0,
21500060,756,0.0,
21500060,757,,
21500060,765,0.0,
21500060,766,,
21500060,772,,
21500060,790,0.0,
21500060,792,,
21500060,792,0.0,
21500060,792,,
21500060,801,0.0,
21500060,801,,
21500060,803,,
21500060,811,,
21500060,811,,
21500060,811,,
21500060,811,,
21500060,822,,
21500060,836,0.0,
21500060,837,,
21500060,842,0.0,
21500060,843,,
21500060,843,0.0,
21500060,845,,
21500060,854,,
21500060,866,0.0,
21500060,867,,
21500060,880,,
21500060,880,,
21500060,880,,
21500060,880,,
21500060,880,,
21500060,880,,
21500060,880,,
21500060,891,0.0,
21500060,892,,
21500060,893,,
21500060,893,,
21500060,893,,
21500060,893,,
21500060,908,0.0,
21500060,908,,
21500060,908,,
21500060,924,,
21500060,935,1.0,202323.0
21500060,950,0.0,
21500060,951,,
21500060,958,1.0,202323.0
21500060,979,,
21500060,979,,
21500060,979,,
21500060,979,,
21500060,991,0.0,
21500060,992,,
21500060,1000,0.0,
21500060,1002,,
21500060,1004,,
21500060,1006,1.0,
21500060,1006,,
21500060,1006,,
21500060,1013,1.0,
21500060,1036,,
21500060,1036,,
21500060,1036,,
21500060,1047,0.0,
21500060,1049,,
21500060,1054,,
21500060,1060,1.0,201978.0
21500060,1072,1.0,
21500060,1089,,
21500060,1089,,
21500060,1089,,
21500060,1089,,
21500060,1089,,
21500060,1100,0.0,
21500060,1101,,
21500060,1101,0.0,
21500060,1102,,
21500060,1117,1.0,202738.0
21500060,1124,,
21500060,1133,,
21500060,1137,1.0,
21500060,1137,,
21500060,1137,,
21500060,1137,,
21500060,1137,,
21500060,1151,0.0,
21500060,1152,,
21500060,1157,0.0,
21500060,1157,,
21500060,1172,1.0,101145.0
21500060,1186,,
21500060,1205,0.0,
21500060,1206,,
21500060,1210,0.0,
21500060,1211,,
21500060,1217,,
21500060,1217,,
21500060,1217,,
21500060,1217,,
21500060,1234,0.0,
21500060,1235,,
21500060,1258,1.0,201588.0
21500060,1265,0.0,
21500060,1266,,
21500060,1275,0.0,
21500060,1276,,
21500060,1281,,
21500060,1281,,
21500060,1281,,
21500060,1281,,
21500060,1281,,
21500060,1281,,
21500060,1281,,
21500060,1296,,
21500060,1307,1.0,101145.0
21500060,1323,0.0,
21500060,1323,,
21500060,1330,1.0,101145.0
21500060,1338,,
21500060,1345,,
21500060,1345,,
21500060,1345,,
21500060,1345,,
21500060,1353,,
21500060,1353,,
21500060,1360,,
21500060,1360,,
21500060,1360,,
21500060,1370,0.0,
21500060,1371,,
21500060,1378,0.0,
21500060,1380,,
21500060,1380,1.0,
21500060,1399,0.0,
21500060,1401,,
21500060,1404,1.0,202730.0
21500060,1411,1.0,202340.0
21500060,1411,,
21500060,1411,,
21500060,1411,,
21500060,1411,,
21500060,1411,,
21500060,1431,0.0,
21500060,1432,,
21500060,1437,0.0,
21500060,1438,,
21500060,1439,1.0,
21500060,1439,,
21500060,1439,,
21500060,1439,,
21500060,1439,,
21500060,1439,,
21500060,1439,,
21500060,1439,,
21500060,1439,,
21500060,1439,,
21500060,1440,0.0,
21500060,1440,,
21500060,1440,,
21500060,1440,,
21500060,1451,0.0,
21500060,1451,,
21500060,1472,0.0,
21500060,1473,,
21500060,1487,1.0,203096.0
21500060,1510,0.0,
21500060,1511,,
21500060,1511,,
21500060,1520,1.0,
21500060,1534,0.0,
21500060,1535,,
21500060,1550,1.0,101145.0
21500060,1566,,
