PLAYER_NAME,PLAYER1_ID,FIRST_NAME,LAST_NAME,TS,EFG
Courtney Lee,201584,Courtney,Lee,0.547945205479452,0.5185185185185186
Cristiano Felicio,1626245,Cristiano,Felicio,0.610632183908046,0.5652173913043479
D'Angelo Russell,1626156,D'Angelo,Russell,0.5055147058823529,0.47500000000000003
Dahntay Jones,2563,Dahntay,Jones,0.4642857142857143,0.4642857142857143
Damian Lillard,203081,Damian,Lillard,0.5595683966470484,0.49492385786802034
Damien Inglis,203996,Damien,Inglis,0.43352601156069365,0.42105263157894735
Damjan Rudez,204014,Damjan,Rudez,0.5784708249496981,0.5526315789473685
Danilo Gallinari,201568,Danilo,Gallinari,0.5800809138505474,0.4696969696969697
Danny Green,201980,Danny,Green,0.4888647474198805,0.48591549295774655
Dante Cunningham,201967,Dante,Cunningham,0.5407801418439715,0.5096153846153846
Darrell Arthur,201589,Darrell,Arthur,0.5100652883569097,0.5
Darren Collison,201954,Darren,Collison,0.5900202292650033,0.5428571428571428
Darrun Hilliard,1626199,Darrun,Hilliard,0.5149330587023687,0.4852941176470588
David Lee,101135,David,Lee,0.5695093457943925,0.5245901639344263
David West,2561,David,West,0.5781758957654722,0.543859649122807
DeAndre Jordan,201599,DeAndre,Jordan,0.6274703557312253,0.6969696969696969
DeJuan Blair,201971,DeJuan,Blair,0.42407108239095315,0.4347826086956522
DeMar DeRozan,201942,DeMar,DeRozan,0.5491680687979061,0.46327683615819215
DeMarcus Cousins,202326,DeMarcus,Cousins,0.538258364014727,0.47560975609756095
DeMarre Carroll,201960,DeMarre,Carroll,0.4894980420078319,0.47115384615384615
Delon Wright,1626153,Delon,Wright,0.5319148936170213,0.46666666666666673
Dennis Schroder,203471,Dennis,Schroder,0.5086940436551979,0.4693877551020407
Deron Williams,101114,Deron,Williams,0.5297565374211001,0.4747899159663866
Derrick Favors,202324,Derrick,Favors,0.5501878690284487,0.5114503816793894
Derrick Rose,201565,Derrick,Rose,0.4798689138576778,0.4496855345911949
Derrick Williams,202682,Derrick,Williams,0.5465444287729198,0.49295774647887325
Devin Booker,1626164,Devin,Booker,0.5350496277915633,0.4780701754385965
Devin Harris,2734,Devin,Harris,0.5614657210401891,0.5172413793103449
Devyn Marble,203906,Devyn,Marble,0.36256906077348067,0.38
Dewayne Dedmon,203473,Dewayne,Dedmon,0.599128540305011,0.5483870967741935
Dion Waiters,203079,Dion,Waiters,0.4909819639278557,0.4560439560439561
Dirk Nowitzki,1717,Dirk,Nowitzki,0.5569758948137327,0.5033783783783783
Donald Sloan,202388,Donald,Sloan,0.542803970223325,0.49122807017543857
Donatas Motiejunas,202700,Donatas,Motiejunas,0.5068672334859385,0.4727272727272727
Doug McDermott,203926,Doug,McDermott,0.556872037914692,0.5375
Draymond Green,203110,Draymond,Green,0.5880376344086021,0.5544554455445544
Drew Gooden,2400,Drew,Gooden,0.3729281767955801,0.3529411764705883
Dwight Howard,2730,Dwight,Howard,0.5983577917540182,0.611764705882353
Dwight Powell,203939,Dwight,Powell,0.5551301684532924,0.48837209302325585
Dwyane Wade,2548,Dwyane,Wade,0.5157437567861021,0.459375
E'Twaun Moore,202734,E'Twaun,Moore,0.5463286713286714,0.5454545454545455
Ed Davis,202334,Ed,Davis,0.6132075471698112,0.5952380952380952
Elfrid Payton,203901,Elfrid,Payton,0.48007896625987073,0.4600000000000001
Elijah Millsap,202407,Elijah,Millsap,0.3756260434056761,0.325
Elliot Williams,202343,Elliot,Williams,0.34013605442176875,0.25
Elton Brand,1882,Elton,Brand,0.4638009049773755,0.42857142857142855
Emmanuel Mudiay,1626144,Emmanuel,Mudiay,0.436442989634479,0.4022556390977443
Enes Kanter,202683,Enes,Kanter,0.6247540338449428,0.5738636363636362
Eric Bledsoe,202339,Eric,Bledsoe,0.556768558951965,0.5
Eric Gordon,201569,Eric,Gordon,0.5616316878510198,0.516260162601626
Eric Moreland,203961,Eric,Moreland,0.49019607843137253,0.5
Ersan Ilyasova,101141,Ersan,Ilyasova,0.5293159609120521,0.5
Evan Fournier,203095,Evan,Fournier,0.586890243902439,0.5423728813559322
Evan Turner,202323,Evan,Turner,0.5112972341254383,0.4623655913978494
Festus Ezeli,203105,Festus,Ezeli,0.5576800509878904,0.54
Frank Kaminsky,1626163,Frank,Kaminsky,0.5142622051563357,0.47692307692307695
Garrett Temple,202066,Garrett,Temple,0.5211307824100514,0.48412698412698413
Gary Harris,203914,Gary,Harris,0.5646345941975762,0.5346534653465347
Gary Neal,202390,Gary,Neal,0.5621844882973842,0.5308641975308642
George Hill,201588,George,Hill,0.5560661764705882,0.525
Gerald Green,101123,Gerald,Green,0.49052028218694893,0.4588235294117647
Giannis Antetokounmpo,203507,Giannis,Antetokounmpo,0.5654443254817987,0.5196850393700788
Goran Dragic,201609,Goran,Dragic,0.5336058128973661,0.5122950819672132
Gordon Hayward,202330,Gordon,Hayward,0.5583900226757369,0.49333333333333335
Gorgui Dieng,203476,Gorgui,Dieng,0.5997624703087886,0.5422535211267605
Greg Monroe,202328,Greg,Monroe,0.5618390129259695,0.5210084033613446
Greivis Vasquez,202349,Greivis,Vasquez,0.43954349167180756,0.39999999999999997
Harrison Barnes,203084,Harrison,Barnes,0.558206106870229,0.53125
Hassan Whiteside,202355,Hassan,Whiteside,0.6294326241134751,0.6129032258064516
Henry Sims,203156,Henry,Sims,0.5059153175591532,0.43636363636363634
Hollis Thompson,203138,Hollis,Thompson,0.5253001715265866,0.5056818181818181
Ian Clark,203546,Ian,Clark,0.5421686746987951,0.5
Ian Mahinmi,101133,Ian,Mahinmi,0.6032693305656461,0.5873015873015873
Iman Shumpert,202697,Iman,Shumpert,0.4836557705136758,0.44642857142857145
Isaiah Canaan,203477,Isaiah,Canaan,0.5282366500192086,0.4840425531914893
Isaiah Thomas,202738,Isaiah,Thomas,0.5604928297313674,0.48520710059171596
Ish Smith,202397,Ish,Smith,0.46282691742580073,0.44047619047619047
J.R. Smith,2747,J.R.,Smith,0.544050544050544,0.5363636363636363
JJ Hickson,201581,JJ,Hickson,0.5197322057787174,0.5227272727272726
JJ Redick,200755,JJ,Redick,0.6323711980136562,0.594017094017094
JaKarr Sampson,203960,JaKarr,Sampson,0.5051505546751188,0.46511627906976744
JaMychal Green,203210,JaMychal,Green,0.5217146080090242,0.4761904761904762
JaVale McGee,201580,JaVale,McGee,0.5816605839416058,0.5897435897435898
Jabari Parker,203953,Jabari,Parker,0.5373475609756097,0.49576271186440674
Jae Crowder,203109,Jae,Crowder,0.5656469088591459,0.5180180180180181
Jahlil Okafor,1626143,Jahlil,Okafor,0.5358892699657031,0.5102040816326531
Jamal Crawford,2037,Jamal,Crawford,0.5300089578978799,0.4663865546218487
Jameer Nelson,2749,Jameer,Nelson,0.4640790742526518,0.43670886075949367
James Anderson,202341,James,Anderson,0.4649309245483528,0.4428571428571429
James Harden,201935,James,Harden,0.5994708119728791,0.515228426395939
James Johnson,201949,James,Johnson,0.5287648054145516,0.5238095238095238
James Jones,2592,James,Jones,0.5745341614906833,0.5499999999999999
James Young,203923,James,Young,0.40192926045016075,0.4166666666666667
Jared Cunningham,203099,Jared,Cunningham,0.45423956931359355,0.39583333333333337
Jared Dudley,201162,Jared,Dudley,0.6050857843137255,0.5833333333333334
Jared Sullinger,203096,Jared,Sullinger,0.4733455882352941,0.45
Jarell Eddie,204067,Jarell,Eddie,0.4559270516717325,0.44000000000000006
Jarell Martin,1626185,Jarell,Martin,0.5365210843373495,0.46511627906976744
Jarrett Jack,101127,Jarrett,Jack,0.5023547880690739,0.43750000000000006
Jason Smith,201160,Jason,Smith,0.5145797598627788,0.49242424242424243
Jason Terry,1891,Jason,Terry,0.5442804428044281,0.5288461538461539
Jason Thompson,201574,Jason,Thompson,0.5567528735632185,0.5000000000000001
Jeff Ayres,201965,Jeff,Ayres,0.5710659898477158,0.5
Jeff Green,201145,Jeff,Green,0.5072840790842872,0.46601941747572817
Jeff Teague,201952,Jeff,Teague,0.5521947101857062,0.496
Jeff Withey,203481,Jeff,Withey,0.5767167381974249,0.53125
Jerami Grant,203924,Jerami,Grant,0.5026948590381426,0.4551282051282051
Jeremy Evans,202379,Jeremy,Evans,0.6289308176100629,0.59375
Jeremy Lamb,203087,Jeremy,Lamb,0.5319148936170213,0.5064935064935064
Jeremy Lin,202391,Jeremy,Lin,0.5353221083455343,0.4623655913978494
Jerian Grant,1626170,Jerian,Grant,0.48242591316333566,0.4215686274509804
Jerryd Bayless,201573,Jerryd,Bayless,0.5684302579798863,0.5416666666666666
Jimmy Butler,202710,Jimmy,Butler,0.5641330166270783,0.487012987012987
Joakim Noah,201149,Joakim,Noah,0.40535444947209653,0.391304347826087
Jodie Meeks,201975,Jodie,Meeks,0.5019251925192519,0.4402985074626865
Joe Ingles,204060,Joe,Ingles,0.56941431670282,0.5555555555555556
Joe Johnson,2207,Joe,Johnson,0.5354634831460674,0.5141509433962265
Joe Young,1626202,Joe,Young,0.4353803849679193,0.39024390243902446
Joel Anthony,201202,Joel,Anthony,0.665680473372781,0.6
Joffrey Lauvergne,203530,Joffrey,Lauvergne,0.5701501154734411,0.53125
John Henson,203089,John,Henson,0.5810092961487384,0.5686274509803921
John Jenkins,203098,John,Jenkins,0.5171543895055498,0.5135135135135135
John Wall,202322,John,Wall,0.5107802874743326,0.46571428571428575
Jon Leuer,202720,Jon,Leuer,0.5548302872062663,0.5142857142857142
Jonas Jerebko,201973,Jonas,Jerebko,0.5314009661835748,0.48648648648648646
Jonas Valanciunas,202685,Jonas,Valanciunas,0.6104540251812286,0.5730337078651685
Jonathon Simmons,203613,Jonathon,Simmons,0.5827505827505827,0.5340909090909091
Jordan Clarkson,203903,Jordan,Clarkson,0.5151555437383675,0.48201438848920863
Jordan Farmar,200770,Jordan,Farmar,0.53166897827092,0.5
