Game,Player Name,Number Shots,Average Shots
75.0,Mike Conley,4.0,2.3333333333333335
75.0,Al-Farouq Aminu,5.0,2.75
76.0,Jordan Clarkson,4.0,1.875
76.0,Zaza Pachulia,2.0,1.5
77.0,Will Barton,2.0,1.75
77.0,Terrence Jones,3.0,2.0
78.0,DeMarcus Cousins,6.0,3.0
78.0,Joe Johnson,7.0,2.4
79.0,Blake Griffin,5.0,2.75
79.0,Reggie Jackson,4.0,2.3333333333333335
80.0,Evan Fournier,4.0,2.0
80.0,Marcin Gortat,3.0,2.6
81.0,Jerryd Bayless,3.0,1.6
81.0,LeBron James,8.0,3.25
82.0,Isaiah Canaan,4.0,2.0
82.0,Patty Mills,2.0,1.6
83.0,Jarrett Jack,5.0,2.4
83.0,Draymond Green,6.0,3.0
84.0,Carmelo Anthony,3.0,1.75
84.0,Anthony Davis,5.0,2.4
85.0,Mike Conley,5.0,2.0
85.0,Zach LaVine,6.0,2.0
86.0,Nicolas Batum,6.0,3.0
86.0,Ed Davis,2.0,1.7142857142857142
87.0,Paul Millsap,5.0,3.0
87.0,Rodney Hood,4.0,3.0
88.0,Rudy Gay,3.0,1.6666666666666667
88.0,DeMar DeRozan,7.0,3.5
89.0,Roy Hibbert,1.0,1.0
89.0,Spencer Dinwiddie,3.0,1.8571428571428572
90.0,Jahlil Okafor,3.0,1.3333333333333333
90.0,Wesley Matthews,3.0,2.25
91.0,Jimmy Butler,5.0,2.4
91.0,Paul George,4.0,2.25
92.0,Marc Gasol,4.0,2.25
92.0,Russell Westbrook,5.0,2.6666666666666665
93.0,Manu Ginobili,4.0,2.2
93.0,Damian Lillard,6.0,2.6
94.0,Thabo Sefolosha,3.0,2.4
94.0,Joe Johnson,4.0,3.0
95.0,LeBron James,3.0,2.0
95.0,Reggie Jackson,5.0,2.5
96.0,Luol Deng,3.0,2.4
96.0,Zach LaVine,4.0,2.4
97.0,Nicolas Batum,4.0,2.2
97.0,Arron Afflalo,4.0,2.4
98.0,Jameer Nelson,4.0,2.75
98.0,Jrue Holiday,4.0,2.2
99.0,DeMar DeRozan,4.0,1.8333333333333333
99.0,Stephen Curry,4.0,1.8
100.0,Jeremy Lin,3.0,2.2
100.0,Thaddeus Young,4.0,3.2
101.0,Andrew Nicholson,5.0,3.75
101.0,Zach LaVine,2.0,1.75
102.0,Jared Sullinger,5.0,3.3333333333333335
102.0,Dirk Nowitzki,3.0,2.2
103.0,Lamar Patterson,4.0,3.0
103.0,Rajon Rondo,3.0,1.8333333333333333
104.0,James Harden,5.0,2.8
104.0,Damian Lillard,5.0,2.75
105.0,Ish Smith,5.0,3.0
105.0,Russell Westbrook,7.0,2.4
106.0,Gordon Hayward,3.0,2.0
106.0,DeMar DeRozan,5.0,3.0
107.0,Jimmy Butler,4.0,1.8333333333333333
107.0,Brandon Knight,5.0,2.6
108.0,Chris Paul,6.0,3.25
108.0,Stephen Curry,4.0,2.25
109.0,Reggie Jackson,6.0,2.75
109.0,Zach LaVine,5.0,2.3333333333333335
110.0,Anthony Davis,6.0,2.1666666666666665
110.0,Kawhi Leonard,3.0,1.5
111.0,Rodney Hood,4.0,2.75
111.0,Raymond Felton,2.0,1.4285714285714286
112.0,Gary Harris,3.0,2.2
112.0,Brandon Knight,5.0,2.0
113.0,Blake Griffin,7.0,2.6
113.0,Damian Lillard,5.0,3.0
114.0,Jimmy Butler,4.0,1.8
114.0,Stephen Curry,5.0,1.8571428571428572
115.0,DeMarcus Cousins,6.0,3.25
115.0,Tobias Harris,4.0,2.4
116.0,Marcus Morris,5.0,2.8
116.0,John Wall,3.0,1.6666666666666667
117.0,Isaiah Canaan,4.0,1.8333333333333333
117.0,Justise Winslow,3.0,2.6666666666666665
118.0,Carmelo Anthony,4.0,3.0
118.0,Marcus Thornton,3.0,2.2
119.0,Blake Griffin,4.0,2.3333333333333335
119.0,Luis Scola,3.0,1.5
120.0,Isaiah Thomas,5.0,2.4
120.0,Jarrett Jack,4.0,2.1666666666666665
121.0,Anthony Davis,4.0,2.25
121.0,Markieff Morris,4.0,2.3333333333333335
122.0,Wesley Matthews,4.0,2.142857142857143
122.0,Russell Westbrook,7.0,3.0
123.0,D'Angelo Russell,3.0,1.8333333333333333
123.0,Damian Lillard,4.0,1.8
124.0,Robert Covington,4.0,2.1666666666666665
124.0,Andrew Wiggins,7.0,3.0
125.0,Kawhi Leonard,4.0,2.75
125.0,Brandon Knight,4.0,2.0
126.0,Mike Conley,3.0,1.6666666666666667
126.0,Raymond Felton,3.0,1.4285714285714286
127.0,Pau Gasol,6.0,3.25
127.0,Damian Lillard,7.0,2.8
128.0,Nicolas Batum,3.0,2.4
128.0,Gary Neal,4.0,2.0
129.0,J.R. Smith,4.0,2.4
129.0,Kyle Lowry,4.0,3.0
130.0,Tony Allen,3.0,2.2
130.0,Corey Brewer,3.0,2.25
131.0,Khris Middleton,4.0,2.0
131.0,Rudy Gay,3.0,1.8
132.0,Paul Millsap,4.0,2.2
132.0,Zach LaVine,5.0,3.25
133.0,Thaddeus Young,4.0,2.4
133.0,Serge Ibaka,3.0,2.2
134.0,Wesley Matthews,5.0,1.8333333333333333
134.0,Kawhi Leonard,4.0,2.75
135.0,Ish Smith,4.0,2.4
135.0,Jon Leuer,6.0,3.5
136.0,Chris Paul,5.0,3.0
136.0,Gordon Hayward,3.0,1.75
137.0,LeBron James,4.0,2.0
137.0,Kemba Walker,4.0,2.8
138.0,Derrick Rose,4.0,2.2857142857142856
138.0,Joe Young,3.0,1.6
139.0,Robert Covington,2.0,1.2857142857142858
139.0,James Harden,5.0,5.0
140.0,Matt Barnes,4.0,2.0
140.0,Jeff Teague,3.0,1.5
141.0,Kosta Koufos,3.0,1.4285714285714286
141.0,Zach LaVine,4.0,2.5
142.0,DeMar DeRozan,5.0,3.6666666666666665
142.0,Ramon Sessions,4.0,2.75
143.0,LeBron James,7.0,4.0
143.0,Jarrett Jack,4.0,2.2
144.0,Gordon Hayward,3.0,2.25
144.0,Ish Smith,3.0,1.6
145.0,Julius Randle,4.0,2.4
145.0,Damian Lillard,6.0,2.75
146.0,Khris Middleton,3.0,2.0
146.0,Nicolas Batum,6.0,3.6666666666666665
147.0,Blake Griffin,6.0,3.3333333333333335
147.0,Zach LaVine,5.0,2.2
148.0,Brook Lopez,3.0,2.0
148.0,Reggie Jackson,5.0,2.4
149.0,DeMarre Carroll,4.0,2.1666666666666665
149.0,Eric Bledsoe,3.0,1.7142857142857142
150.0,Robert Covington,2.0,1.4285714285714286
150.0,Zach Randolph,3.0,2.5
151.0,Lance Thomas,4.0,1.8
151.0,James Harden,6.0,2.8
152.0,Jordan Clarkson,5.0,3.1666666666666665
152.0,Paul George,2.0,1.5
153.0,Reggie Jackson,2.0,1.3333333333333333
153.0,Marcus Thornton,6.0,3.0
154.0,Jared Sullinger,3.0,1.8333333333333333
154.0,Dwyane Wade,7.0,2.6
155.0,Jeff Teague,6.0,3.0
155.0,Russell Westbrook,8.0,4.666666666666667
156.0,Derrick Rose,3.0,1.5
156.0,Tony Parker,3.0,2.0
157.0,Rodney Hood,4.0,3.25
157.0,Stephen Curry,6.0,2.75
158.0,DeMarcus Cousins,5.0,2.5
158.0,Devin Harris,3.0,1.75
159.0,Shane Larkin,4.0,2.2
159.0,Eric Bledsoe,2.0,1.5
160.0,Victor Oladipo,3.0,2.4
160.0,Andrew Wiggins,4.0,1.8333333333333333
161.0,Marc Gasol,6.0,2.4
161.0,Norris Cole,5.0,2.6
162.0,Dirk Nowitzki,6.0,3.6
162.0,Damian Lillard,5.0,3.6666666666666665
163.0,Kobe Bryant,7.0,2.6
163.0,John Wall,6.0,2.2
164.0,Jeff Teague,7.0,2.6666666666666665
164.0,Kyle Lowry,5.0,2.75
165.0,Pau Gasol,4.0,2.6
165.0,Will Barton,3.0,2.5
166.0,Anthony Davis,6.0,2.6
166.0,James Harden,5.0,2.4
167.0,Dwyane Wade,6.0,3.0
167.0,Kevin Durant,6.0,3.6666666666666665
168.0,Darrell Arthur,3.0,1.6666666666666667
168.0,DeMar DeRozan,5.0,3.0
169.0,Trey Burke,5.0,2.1666666666666665
169.0,Evan Fournier,3.0,2.0
170.0,Ian Mahinmi,3.0,1.7142857142857142
170.0,Allen Crabbe,4.0,1.8333333333333333
171.0,Eric Bledsoe,3.0,1.8
171.0,Ramon Sessions,2.0,1.5
172.0,Khris Middleton,7.0,2.6666666666666665
172.0,Reggie Jackson,2.0,1.75
173.0,Jeff Teague,4.0,2.3333333333333335
173.0,Kobe Bryant,6.0,2.5
174.0,Dirk Nowitzki,4.0,2.25
174.0,Terrence Jones,3.0,2.25
175.0,Robert Covington,4.0,2.2
175.0,Will Barton,3.0,2.2
176.0,Kyle Lowry,5.0,3.6666666666666665
176.0,Stephen Curry,5.0,2.25
177.0,Pau Gasol,5.0,2.6
177.0,Nicolas Batum,6.0,3.0
178.0,DeMarcus Cousins,7.0,2.7142857142857144
178.0,Trevor Ariza,3.0,1.75
179.0,Karl-Anthony Towns,6.0,3.6
179.0,Meyers Leonard,3.0,2.5
180.0,Derrick Favors,6.0,3.75
180.0,Paul George,6.0,3.6666666666666665
181.0,Jamal Crawford,5.0,2.0
181.0,Elfrid Payton,3.0,1.8333333333333333
182.0,Zach Randolph,5.0,3.6
182.0,Brandon Knight,4.0,2.6
183.0,Raymond Felton,6.0,3.3333333333333335
183.0,Gary Neal,3.0,2.25
184.0,Marco Belinelli,5.0,3.2
184.0,Steven Adams,4.0,2.1666666666666665
185.0,Justise Winslow,2.0,1.5
185.0,Bradley Beal,4.0,2.2
186.0,Kobe Bryant,5.0,3.0
186.0,Terrence Ross,3.0,1.75
187.0,Derrick Rose,4.0,2.0
187.0,Brandon Knight,6.0,2.6666666666666665
188.0,O.J. Mayo,4.0,1.6666666666666667
188.0,Damian Lillard,3.0,2.0
189.0,Chris Paul,3.0,2.2
189.0,Zach LaVine,7.0,2.4
190.0,LeBron James,6.0,3.3333333333333335
190.0,Damian Lillard,8.0,4.0
191.0,Joe Johnson,4.0,2.25
191.0,James Harden,3.0,1.8333333333333333
192.0,Elfrid Payton,4.0,2.3333333333333335
192.0,Danilo Gallinari,4.0,2.0
193.0,Alec Burks,6.0,2.5
193.0,DeMarcus Cousins,3.0,1.5
194.0,Jimmy Butler,6.0,3.5
194.0,Isaiah Thomas,4.0,2.0
195.0,Jason Terry,4.0,2.1666666666666665
195.0,John Wall,4.0,2.1666666666666665
196.0,Marc Gasol,4.0,2.3333333333333335
196.0,Reggie Jackson,5.0,2.6
197.0,DeMar DeRozan,3.0,2.3333333333333335
197.0,Manu Ginobili,5.0,2.6
198.0,O.J. Mayo,4.0,2.6666666666666665
198.0,Blake Griffin,4.0,2.25
199.0,D'Angelo Russell,7.0,3.0
199.0,Kevin Martin,5.0,2.5
200.0,Nikola Vucevic,4.0,2.8
200.0,Eric Bledsoe,4.0,2.3333333333333335
201.0,Kent Bazemore,3.0,2.2
201.0,Deron Williams,6.0,3.25
202.0,Jahlil Okafor,4.0,2.5
202.0,Shane Larkin,3.0,2.0
203.0,Derrick Rose,4.0,2.2
203.0,Chris Paul,5.0,2.2
204.0,Kent Bazemore,3.0,1.5714285714285714
204.0,Russell Westbrook,3.0,2.25
205.0,DeMarcus Cousins,5.0,2.5
205.0,Carmelo Anthony,6.0,3.5
206.0,Dwyane Wade,5.0,2.75
206.0,Monta Ellis,4.0,2.2
207.0,Isaiah Thomas,3.0,2.2
207.0,Stephen Curry,7.0,2.4
208.0,O.J. Mayo,4.0,2.6666666666666665
208.0,DeMar DeRozan,4.0,2.25
209.0,Tyreke Evans,3.0,2.5
209.0,John Wall,4.0,2.1666666666666665
210.0,Will Barton,2.0,2.0
210.0,Tayshaun Prince,2.0,1.8
211.0,Eric Bledsoe,5.0,2.3333333333333335
211.0,Mason Plumlee,3.0,2.2
212.0,Avery Bradley,4.0,2.0
212.0,Kemba Walker,6.0,2.6666666666666665
