Game,Player Name,Number Shots,Average Shots,HOME_TEAM,AWAY_TEAM,FIRST_INDEX,LAST_INDEX,Best_Player
32.0,Carmelo Anthony,5.0,2.0,Cavaliers,Knicks,2332.0,2382.0,Carmelo Anthony
33.0,Evan Fournier,4.0,2.75,Rockets,Magic,2383.0,2462.0,James Harden
33.0,James Harden,3.0,1.6,Rockets,Magic,2383.0,2462.0,Aaron Gordon
34.0,Nerlens Noel,4.0,1.8,Bucks,76ers,2463.0,2527.0,Greg Monroe
34.0,Khris Middleton,4.0,2.1666666666666665,Bucks,76ers,2463.0,2527.0,Jahlil Okafor
35.0,DeMar DeRozan,5.0,2.0,Thunder,Raptors,2528.0,2604.0,Kevin Durant
35.0,Russell Westbrook,5.0,2.25,Thunder,Raptors,2528.0,2604.0,Jonas Valanciunas
36.0,Rodney Hood,3.0,1.8,Trail Blazers,Jazz,2605.0,2669.0,Damian Lillard
36.0,Damian Lillard,5.0,3.25,Trail Blazers,Jazz,2605.0,2669.0,Derrick Favors
37.0,Chris Paul,4.0,2.142857142857143,Warriors,Clippers,2670.0,2758.0,Stephen Curry
37.0,Stephen Curry,5.0,1.8,Warriors,Clippers,2670.0,2758.0,Chris Paul
38.0,Derrick Rose,6.0,3.6666666666666665,Bulls,Thunder,2759.0,2809.0,Pau Gasol
38.0,Kevin Durant,6.0,3.0,Bulls,Thunder,2759.0,2809.0,Kevin Durant
39.0,Rodney Hood,4.0,2.333333333333333,Nuggets,Jazz,2810.0,2887.0,Nikola Jokic
39.0,Jameer Nelson,2.0,1.2857142857142858,Nuggets,Jazz,2810.0,2887.0,Gordon Hayward
40.0,Victor Oladipo,3.0,2.0,Magic,Raptors,2888.0,2941.0,Dewayne Dedmon
40.0,Kyle Lowry,2.0,1.6666666666666667,Magic,Raptors,2888.0,2941.0,Jonas Valanciunas
41.0,Julius Randle,3.0,1.5714285714285714,Nets,Lakers,2942.0,3032.0,Brook Lopez
41.0,Jarrett Jack,5.0,2.4,Nets,Lakers,2942.0,3032.0,Lou Williams
42.0,John Henson,3.0,2.0,Bucks,Knicks,3033.0,3107.0,Greg Monroe
42.0,Kristaps Porzingis,3.0,2.0,Bucks,Knicks,3033.0,3107.0,Carmelo Anthony
43.0,Dwyane Wade,4.0,2.0,Pacers,Heat,3108.0,3203.0,Paul George
43.0,Paul George,5.0,2.5,Pacers,Heat,3108.0,3203.0,Hassan Whiteside
44.0,Jeff Teague,6.0,2.2,Hawks,Pelicans,3204.0,3283.0,Paul Millsap
44.0,Eric Gordon,3.0,2.0,Hawks,Pelicans,3204.0,3283.0,Anthony Davis
45.0,Reggie Jackson,4.0,2.0,Pistons,Suns,3284.0,3378.0,Andre Drummond
45.0,Markieff Morris,5.0,3.2,Pistons,Suns,3284.0,3378.0,Eric Bledsoe
46.0,Rudy Gay,5.0,2.2,Rockets,Kings,3379.0,3449.0,James Harden
46.0,James Harden,5.0,2.75,Rockets,Kings,3379.0,3449.0,Darren Collison
47.0,Pau Gasol,3.0,2.0,Bulls,Timberwolves,3450.0,3535.0,Pau Gasol
47.0,Andrew Wiggins,6.0,3.25,Bulls,Timberwolves,3450.0,3535.0,Karl-Anthony Towns
48.0,Kent Bazemore,3.0,1.5714285714285714,Hawks,Wizards,3536.0,3606.0,Paul Millsap
48.0,Bradley Beal,2.0,1.1428571428571428,Hawks,Wizards,3536.0,3606.0,John Wall
49.0,Nik Stauskas,3.0,1.8333333333333333,Magic,76ers,3607.0,3714.0,Dewayne Dedmon
49.0,Elfrid Payton,4.0,2.5,Magic,76ers,3607.0,3714.0,Jahlil Okafor
50.0,Rudy Gay,6.0,3.6666666666666665,Warriors,Kings,3715.0,3781.0,Stephen Curry
50.0,Stephen Curry,3.0,2.0,Warriors,Kings,3715.0,3781.0,Rajon Rondo
51.0,Blake Griffin,5.0,2.0,Rockets,Clippers,3782.0,3890.0,James Harden
51.0,Ty Lawson,3.0,1.6,Rockets,Clippers,3782.0,3890.0,Blake Griffin
52.0,LeBron James,3.0,1.6,Cavaliers,Pacers,3891.0,3973.0,LeBron James
52.0,Paul George,5.0,3.0,Cavaliers,Pacers,3891.0,3973.0,Paul George
53.0,Carmelo Anthony,4.0,2.0,Lakers,Knicks,3974.0,4066.0,Lou Williams
53.0,Kobe Bryant,5.0,2.125,Lakers,Knicks,3974.0,4066.0,Carmelo Anthony
54.0,Reggie Jackson,8.0,3.25,Pistons,Trail Blazers,4067.0,4133.0,Andre Drummond
54.0,Damian Lillard,4.0,2.4,Pistons,Trail Blazers,4067.0,4133.0,Damian Lillard
55.0,Victor Oladipo,4.0,1.6,Pacers,Magic,4134.0,4190.0,Paul George
55.0,Paul George,5.0,2.4,Pacers,Magic,4134.0,4190.0,Aaron Gordon
56.0,Paul Millsap,4.0,2.1666666666666665,Hawks,Timberwolves,4191.0,4262.0,Paul Millsap
56.0,Andrew Wiggins,5.0,2.0,Hawks,Timberwolves,4191.0,4262.0,Karl-Anthony Towns
57.0,JJ Hickson,3.0,2.0,Nuggets,Trail Blazers,4263.0,4336.0,Kenneth Faried
57.0,Damian Lillard,5.0,3.5,Nuggets,Trail Blazers,4263.0,4336.0,Damian Lillard
58.0,JJ Redick,3.0,2.5,Clippers,Grizzlies,4337.0,4444.0,Chris Paul
58.0,Mike Conley,3.0,2.0,Clippers,Grizzlies,4337.0,4444.0,Mike Conley
59.0,LeBron James,6.0,2.2,Cavaliers,Jazz,4445.0,4556.0,LeBron James
59.0,Alec Burks,5.0,2.6,Cavaliers,Jazz,4445.0,4556.0,Derrick Favors
60.0,Carmelo Anthony,5.0,2.4,Knicks,Raptors,4557.0,4651.0,Carmelo Anthony
60.0,Kyle Lowry,3.0,2.0,Knicks,Raptors,4557.0,4651.0,Jonas Valanciunas
61.0,Nicolas Batum,4.0,2.0,Hornets,Knicks,4652.0,4719.0,Kemba Walker
61.0,Arron Afflalo,5.0,2.8,Hornets,Knicks,4652.0,4719.0,Carmelo Anthony
62.0,Julius Randle,4.0,3.0,Lakers,Magic,4720.0,4785.0,Lou Williams
62.0,Nikola Vucevic,5.0,3.0,Lakers,Magic,4720.0,4785.0,Nikola Vucevic
63.0,Jared Sullinger,2.0,1.6,Celtics,Pacers,4786.0,4843.0,Isaiah Thomas
63.0,Paul George,5.0,2.75,Celtics,Pacers,4786.0,4843.0,Paul George
64.0,Jeff Teague,6.0,3.6666666666666665,Hawks,Pelicans,4844.0,4909.0,Paul Millsap
64.0,Eric Gordon,5.0,2.6,Hawks,Pelicans,4844.0,4909.0,Ryan Anderson
65.0,Austin Rivers,4.0,1.8,Mavericks,Clippers,4910.0,5005.0,Dirk Nowitzki
65.0,Wesley Matthews,4.0,2.6666666666666665,Mavericks,Clippers,4910.0,5005.0,Chris Paul
66.0,Bojan Bogdanovic,3.0,1.875,Nets,Rockets,5006.0,5077.0,Brook Lopez
66.0,James Harden,6.0,3.4,Nets,Rockets,5006.0,5077.0,James Harden
67.0,Jerryd Bayless,5.0,2.6666666666666665,Nuggets,Bucks,5078.0,5148.0,Kenneth Faried
67.0,Randy Foye,2.0,1.4,Nuggets,Bucks,5078.0,5148.0,Greg Monroe
68.0,DeMarcus Cousins,6.0,3.333333333333333,Pistons,Kings,5149.0,5217.0,Andre Drummond
68.0,Reggie Jackson,5.0,3.0,Pistons,Kings,5149.0,5217.0,DeMarcus Cousins
69.0,Tyler Johnson,4.0,2.2,Heat,Jazz,5218.0,5316.0,Hassan Whiteside
69.0,Gordon Hayward,7.0,4.0,Heat,Jazz,5218.0,5316.0,Derrick Favors
70.0,Andrew Wiggins,4.0,2.0,Warriors,Timberwolves,5317.0,5395.0,Stephen Curry
70.0,Stephen Curry,6.0,2.75,Warriors,Timberwolves,5317.0,5395.0,Karl-Anthony Towns
71.0,Monta Ellis,3.0,2.0,Pacers,Timberwolves,5396.0,5473.0,Paul George
71.0,Zach LaVine,5.0,3.5,Pacers,Timberwolves,5396.0,5473.0,Karl-Anthony Towns
72.0,Evan Turner,4.0,2.1666666666666665,Hawks,Celtics,5474.0,5527.0,Paul Millsap
72.0,Paul Millsap,2.0,1.6666666666666667,Hawks,Celtics,5474.0,5527.0,Isaiah Thomas
73.0,LeBron James,3.0,1.75,Cavaliers,Knicks,5528.0,5594.0,LeBron James
73.0,Carmelo Anthony,4.0,2.2,Cavaliers,Knicks,5528.0,5594.0,Carmelo Anthony
74.0,Derrick Rose,3.0,2.333333333333333,Hornets,Bulls,5595.0,5662.0,Kemba Walker
74.0,Nicolas Batum,5.0,3.0,Hornets,Bulls,5595.0,5662.0,Pau Gasol
75.0,Mike Conley,4.0,2.333333333333333,Grizzlies,Trail Blazers,5663.0,5753.0,Mike Conley
75.0,Al-Farouq Aminu,5.0,2.75,Grizzlies,Trail Blazers,5663.0,5753.0,Damian Lillard
76.0,Jordan Clarkson,4.0,1.875,Mavericks,Lakers,5754.0,5836.0,Dirk Nowitzki
76.0,Zaza Pachulia,2.0,1.5,Mavericks,Lakers,5754.0,5836.0,Lou Williams
77.0,Will Barton,2.0,1.75,Nuggets,Rockets,5837.0,5911.0,Kenneth Faried
77.0,Terrence Jones,3.0,2.0,Nuggets,Rockets,5837.0,5911.0,James Harden
78.0,DeMarcus Cousins,6.0,3.0,Nets,Kings,5912.0,6014.0,Brook Lopez
78.0,Joe Johnson,7.0,2.4,Nets,Kings,5912.0,6014.0,DeMarcus Cousins
79.0,Blake Griffin,5.0,2.75,Pistons,Clippers,6015.0,6099.0,Andre Drummond
79.0,Reggie Jackson,4.0,2.333333333333333,Pistons,Clippers,6015.0,6099.0,Blake Griffin
80.0,Evan Fournier,4.0,2.0,Magic,Wizards,6100.0,6169.0,Nikola Vucevic
80.0,Marcin Gortat,3.0,2.6,Magic,Wizards,6100.0,6169.0,John Wall
81.0,Jerryd Bayless,3.0,1.6,Cavaliers,Bucks,6170.0,6239.0,LeBron James
81.0,LeBron James,8.0,3.25,Cavaliers,Bucks,6170.0,6239.0,Greg Monroe
82.0,Isaiah Canaan,4.0,2.0,76ers,Spurs,6240.0,6312.0,Jahlil Okafor
82.0,Patty Mills,2.0,1.6,76ers,Spurs,6240.0,6312.0,Boban Marjanovic
83.0,Jarrett Jack,5.0,2.4,Nets,Warriors,6313.0,6398.0,Brook Lopez
83.0,Draymond Green,6.0,3.0,Nets,Warriors,6313.0,6398.0,Stephen Curry
84.0,Carmelo Anthony,3.0,1.75,Pelicans,Knicks,6399.0,6457.0,Anthony Davis
84.0,Anthony Davis,5.0,2.4,Pelicans,Knicks,6399.0,6457.0,Carmelo Anthony
85.0,Mike Conley,5.0,2.0,Grizzlies,Timberwolves,6458.0,6540.0,Mike Conley
85.0,Zach LaVine,6.0,2.0,Grizzlies,Timberwolves,6458.0,6540.0,Karl-Anthony Towns
86.0,Nicolas Batum,6.0,3.0,Hornets,Trail Blazers,6541.0,6616.0,Kemba Walker
86.0,Ed Davis,2.0,1.7142857142857142,Hornets,Trail Blazers,6541.0,6616.0,Damian Lillard
87.0,Paul Millsap,5.0,3.0,Hawks,Jazz,6617.0,6668.0,Paul Millsap
87.0,Rodney Hood,4.0,3.0,Hawks,Jazz,6617.0,6668.0,Derrick Favors
88.0,Rudy Gay,3.0,1.6666666666666667,Kings,Raptors,6669.0,6731.0,DeMarcus Cousins
88.0,DeMar DeRozan,7.0,3.5,Kings,Raptors,6669.0,6731.0,Jonas Valanciunas
89.0,Roy Hibbert,1.0,1.0,Pistons,Lakers,6732.0,6812.0,Andre Drummond
89.0,Spencer Dinwiddie,3.0,1.8571428571428568,Pistons,Lakers,6732.0,6812.0,Brandon Bass
