Player_ID,Player,First_Name,Last_Name,TS%,EFG%,PER,3PAr,G,MP,Pos
203078,Bradley Beal,Bradley,Beal,0.546894644204174,0.5137931034482759,15.5,0.33899999999999997,55,1708,SG
201148,Brandan Wright,Brandan,Wright,0.6660231660231661,0.6744186046511628,18.3,0.0,12,212,PF
101138,Brandon Bass,Brandon,Bass,0.6241331484049931,0.5416666666666667,17.4,0.006,66,1342,PF
201943,Brandon Jennings,Brandon,Jennings,0.4925756710451171,0.4523809523809523,13.7,0.51,48,868,PG
201943,Brandon Jennings,Brandon,Jennings,0.4925756710451171,0.4523809523809523,13.1,0.5379999999999999,23,416,PG
201943,Brandon Jennings,Brandon,Jennings,0.4925756710451171,0.4523809523809523,14.3,0.484,25,452,PG
202688,Brandon Knight,Brandon,Knight,0.5229455709711847,0.4796511627906977,14.7,0.392,52,1870,SG
201575,Brandon Rush,Brandon,Rush,0.5561440677966102,0.5416666666666666,10.1,0.604,72,1055,SG
203148,Brian Roberts,Brian,Roberts,0.5561735261401557,0.5156249999999999,13.8,0.255,51,470,PG
203148,Brian Roberts,Brian,Roberts,0.5561735261401557,0.5156249999999999,13.9,0.235,30,333,PG
203148,Brian Roberts,Brian,Roberts,0.5561735261401557,0.5156249999999999,13.7,0.3,21,137,PG
1627362,Briante Weber,Briante,Weber,0.3751705320600273,0.35714285714285715,8.9,0.128,7,169,PG
1627362,Briante Weber,Briante,Weber,0.3751705320600273,0.35714285714285715,8.3,0.132,6,166,PG
1627362,Briante Weber,Briante,Weber,0.3751705320600273,0.35714285714285715,39.3,0.0,1,3,PG
201572,Brook Lopez,Brook,Lopez,0.5653128430296378,0.5126582278481012,21.7,0.012,73,2457,C
203998,Bruno Caboclo,Bruno,Caboclo,0.125,0.15000000000000002,-7.7,0.583,6,43,SF
1626214,Bryce Dejean-Jones,Bryce,Dejean-Jones,0.5035971223021583,0.5,9.6,0.46399999999999997,14,279,SG
203946,Cameron Bairstow,Cameron,Bairstow,0.39983164983164976,0.3409090909090909,6.8,0.125,18,103,C
1626166,Cameron Payne,Cameron,Payne,0.4925137903861308,0.4693877551020407,12.9,0.39899999999999997,57,698,PG
201171,Carl Landry,Carl,Landry,0.6125,0.5797101449275363,22.4,0.052000000000000005,36,569,PF
2546,Carmelo Anthony,Carmelo,Anthony,0.5274874177313202,0.4752747252747253,20.3,0.237,72,2530,SF
2406,Caron Butler,Caron,Butler,0.4858193277310925,0.4571428571428572,11.3,0.305,17,176,SF
202718,Chandler Parsons,Chandler,Parsons,0.5870757627699692,0.5654205607476636,16.2,0.386,61,1799,SF
101112,Channing Frye,Channing,Frye,0.5842911877394636,0.5700000000000001,12.9,0.677,70,1200,PF-C
101112,Channing Frye,Channing,Frye,0.5842911877394636,0.5700000000000001,11.8,0.6509999999999999,44,754,PF
101112,Channing Frye,Channing,Frye,0.5842911877394636,0.5700000000000001,14.9,0.708,26,446,C
101111,Charlie Villanueva,Charlie,Villanueva,0.4656683710737765,0.4528301886792453,11.9,0.526,62,665,PF
201978,Chase Budinger,Chase,Budinger,0.5187246963562753,0.5,10.7,0.36,66,929,SF
201978,Chase Budinger,Chase,Budinger,0.5187246963562753,0.5,11.1,0.35600000000000004,49,729,SF
201978,Chase Budinger,Chase,Budinger,0.5187246963562753,0.5,9.2,0.37799999999999995,17,200,SF
2365,Chris Andersen,Chris,Andersen,0.5959657701711489,0.537037037037037,15.3,0.19399999999999998,27,402,C
